,Hbond,atom1,atom2,bond_length,crystal
554,OH,O9,H105,2.089827389106366,Na
555,OH,O9,H121,2.9660791927056542,Na
556,OH,O9,H129,2.6157017021365387,Na
557,OH,O9,H137,3.4356270433300384,Na
558,OH,O10,H74,2.1074899006583903,Na
559,OH,O10,H76,3.217568138547169,Na
560,OH,O10,H82,2.104979513819827,Na
561,OH,O10,H90,2.0911892314437526,Na
562,OH,O10,H98,2.076207829746344,Na
563,OH,O10,H100,3.3883080358119084,Na
564,OH,O10,H106,2.089827389106365,Na
565,OH,O10,H122,2.9660792313159066,Na
566,OH,O10,H130,2.615701913405592,Na
567,OH,O10,H138,3.435627352126876,Na
568,OH,O11,H73,3.217568026060471,Na
569,OH,O11,H75,2.107489728921567,Na
570,OH,O11,H83,2.1049792548368624,Na
571,OH,O11,H91,2.091189231443753,Na
572,OH,O11,H97,3.3883080358119084,Na
573,OH,O11,H99,2.076207829746345,Na
574,OH,O11,H107,2.089827389106366,Na
575,OH,O11,H123,2.9660791927056542,Na
576,OH,O11,H131,2.615701617409504,Na
577,OH,O11,H139,3.4356270433300384,Na
578,OH,O12,H74,3.21756837547634,Na
579,OH,O12,H76,2.107490429891374,Na
580,OH,O12,H84,2.1049798332523095,Na
581,OH,O12,H92,2.091189231443753,Na
582,OH,O12,H98,3.388308035811964,Na
583,OH,O12,H100,2.0762078297464677,Na
584,OH,O12,H108,2.0898273891063655,Na
585,OH,O12,H124,2.966079231315907,Na
586,OH,O12,H132,2.6157019981326175,Na
587,OH,O12,H140,3.435627352126876,Na
588,OH,O13,H77,2.1074899006583903,Na
589,OH,O13,H79,3.217568138547168,Na
590,OH,O13,H85,2.104979254836863,Na
591,OH,O13,H93,2.0911892314437526,Na
592,OH,O13,H101,2.076207829746344,Na
593,OH,O13,H103,3.3883080358119084,Na
594,OH,O13,H109,2.0898273891063655,Na
595,OH,O13,H125,2.9660791927056542,Na
596,OH,O13,H133,2.6157019134055917,Na
597,OH,O13,H141,3.4356273521268754,Na
598,OH,O14,H78,2.107490258154719,Na
599,OH,O14,H80,3.2175682629897078,Na
600,OH,O14,H86,2.104979833252385,Na
601,OH,O14,H94,2.091189231443814,Na
602,OH,O14,H102,2.076207829746592,Na
603,OH,O14,H104,3.38830803581202,Na
604,OH,O14,H110,2.089827389106377,Na
605,OH,O14,H126,2.966079231315828,Na
606,OH,O14,H134,2.615701702136519,Na
